Albania ,225.86909090909091
Algeria ,267.95817490494295
Argentina ,213.8306010928962
Armenia ,115.28756830601093
Australia ,259.8869261259012
Austria ,86.96265938069217
Azerbaijan ,197.04098360655738
Belarus ,85.26229508196721
Belgium ,137.275956284153
Bosnia and Herzegovina ,145.49850746268658
Burkina Faso,360.2468619246862
Canada ,96.56915229927735
Cote D'Ivoire,305.5972602739726
Croatia ,146.86407103825135
Czech Republic,95.6996336996337
Denmark ,95.85753575357536
Egypt ,268.1168831168831
Estonia ,74.21311475409836
Finland ,31.882513661202186
France ,157.42971998891045
Georgia ,195.44945355191257
Germany ,108.89628634531752
Greenland [Denmark],12.342618384401113
Guinea ,302.98891966759004
Hungary ,129.35956284153005
Ireland ,138.35664335664336
Israel ,238.91769547325103
Italy ,163.68032786885246
Jan Mayen [Norway] ,0.5193370165745856
Japan ,137.1639344262295
Kazakhstan ,120.97977230021002
Korea,166.63114754098362
Kyrgyzstan ,146.30327868852459
Latvia ,81.60109289617486
Libya ,243.5414847161572
Lithuania ,81.85997267759562
Mauritania ,315.0433566433566
Mexico ,280.694802664539
Netherlands ,114.9839480874317
New Zealand,201.03010033444815
Niger ,371.6531791907515
Norway ,60.4466966966967
Poland ,112.34322033898304
Portugal ,205.35238095238094
Puerto Rico [United States],301.6972564993411
Romania ,140.6357044198895
Russia ,39.74576911194261
Senegal ,326.0138888888889
Serbia ,145.8306010928962
Slovakia ,122.64207650273224
Slovenia ,129.02459016393442
Spain ,190.67329479768787
Sri Lanka,256.1162790697674
Svalbard [Norway],-27.57103825136612
Sweden ,65.60974499089254
Switzerland ,110.96120218579235
Tajikistan ,213.25291295407814
Turkey ,167.7695810564663
Turkmenistan ,235.37534153005464
Ukraine ,115.56073735623129
United Kingdom,117.15144418423107
United States,180.0574004855523
Uruguay ,225.4799635701275
Uzbekistan ,210.65602471678682
